2026/03/06 13:39:24 [DESKTOP-JFVG6LS/WkYXzEyZw5-000001] "GET http://localhost:8080/healthz HTTP/1.1" from [::1]:51165 - 200 1B in 0s
2026/03/06 17:34:48 [DESKTOP-JFVG6LS/WkYXzEyZw5-000012] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:51601 - 200 1262B in 0s
2026/03/06 17:34:48 [DESKTOP-JFVG6LS/WkYXzEyZw5-000013] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:51602 - 200 1262B in 0s
2026/03/06 18:25:33 [DESKTOP-JFVG6LS/WkYXzEyZw5-000014] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:52331 - 200 1262B in 1.1533ms
2026/03/06 18:25:34 [DESKTOP-JFVG6LS/WkYXzEyZw5-000015] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:52331 - 200 1262B in 557µs
2026/03/06 18:25:34 [DESKTOP-JFVG6LS/WkYXzEyZw5-000016] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:52331 - 200 1262B in 417.9µs
2026/03/06 18:25:37 [DESKTOP-JFVG6LS/WkYXzEyZw5-000017] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:52331 - 200 1262B in 0s
2026/03/06 18:25:38 [DESKTOP-JFVG6LS/WkYXzEyZw5-000018] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:52331 - 200 1262B in 0s
2026/03/06 18:25:38 [DESKTOP-JFVG6LS/WkYXzEyZw5-000019] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:52331 - 200 1262B in 1.0007ms
2026/03/06 18:43:31 [DESKTOP-JFVG6LS/WkYXzEyZw5-000020] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:52541 - 200 1262B in 0s
2026/03/06 18:43:31 [DESKTOP-JFVG6LS/WkYXzEyZw5-000021] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:52541 - 200 1262B in 0s
2026/03/06 18:43:40 [DESKTOP-JFVG6LS/WkYXzEyZw5-000022] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:52541 - 200 1262B in 0s
2026/03/06 18:43:40 [DESKTOP-JFVG6LS/WkYXzEyZw5-000023] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:52541 - 200 1262B in 173.5µs
2026/03/06 18:51:04 [DESKTOP-JFVG6LS/WkYXzEyZw5-000024] "OPTIONS http://localhost:8080/auth/login HTTP/1.1" from [::1]:52705 - 204 0B in 0s
2026/03/06 18:51:04 [DESKTOP-JFVG6LS/WkYXzEyZw5-000025] "POST http://localhost:8080/auth/login HTTP/1.1" from [::1]:52705 - 401 32B in 0s
2026/03/06 18:51:26 [DESKTOP-JFVG6LS/WkYXzEyZw5-000026] "OPTIONS http://localhost:8080/auth/signup HTTP/1.1" from [::1]:52705 - 204 0B in 0s
2026/03/06 18:51:26 [DESKTOP-JFVG6LS/WkYXzEyZw5-000027] "POST http://localhost:8080/auth/signup HTTP/1.1" from [::1]:52705 - 201 473B in 169.2582ms
2026/03/06 18:51:26 [DESKTOP-JFVG6LS/WkYXzEyZw5-000028] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:52716 - 200 150B in 0s
2026/03/06 18:51:27 [DESKTOP-JFVG6LS/WkYXzEyZw5-000029] "OPTIONS http://localhost:8080/v1/me HTTP/1.1" from [::1]:52721 - 204 0B in 0s
2026/03/06 18:51:27 [DESKTOP-JFVG6LS/WkYXzEyZw5-000030] "OPTIONS http://localhost:8080/v1/me HTTP/1.1" from [::1]:52705 - 204 0B in 0s
2026/03/06 18:51:27 [DESKTOP-JFVG6LS/WkYXzEyZw5-000031] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:52705 - 200 150B in 0s
2026/03/06 18:51:27 [DESKTOP-JFVG6LS/WkYXzEyZw5-000032] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:52721 - 200 150B in 1.2057ms
2026/03/06 18:51:47 [DESKTOP-JFVG6LS/WkYXzEyZw5-000033] "OPTIONS http://localhost:8080/v1/me HTTP/1.1" from [::1]:52721 - 204 0B in 0s
2026/03/06 18:51:47 [DESKTOP-JFVG6LS/WkYXzEyZw5-000034] "OPTIONS http://localhost:8080/v1/me HTTP/1.1" from [::1]:52705 - 204 0B in 0s
2026/03/06 18:51:47 [DESKTOP-JFVG6LS/WkYXzEyZw5-000035] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:52705 - 200 150B in 0s
2026/03/06 18:51:47 [DESKTOP-JFVG6LS/WkYXzEyZw5-000036] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:52721 - 200 150B in 0s
2026/03/06 18:51:50 [DESKTOP-JFVG6LS/WkYXzEyZw5-000037] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:52721 - 200 150B in 0s
2026/03/06 18:51:50 [DESKTOP-JFVG6LS/WkYXzEyZw5-000038] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:52705 - 200 150B in 0s
2026/03/06 18:51:52 [DESKTOP-JFVG6LS/WkYXzEyZw5-000039] "OPTIONS http://localhost:8080/v1/me HTTP/1.1" from [::1]:52705 - 204 0B in 0s
2026/03/06 18:51:52 [DESKTOP-JFVG6LS/WkYXzEyZw5-000040] "OPTIONS http://localhost:8080/v1/me HTTP/1.1" from [::1]:52721 - 204 0B in 164.2µs
2026/03/06 18:51:52 [DESKTOP-JFVG6LS/WkYXzEyZw5-000041] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:52721 - 200 150B in 0s
2026/03/06 18:51:52 [DESKTOP-JFVG6LS/WkYXzEyZw5-000042] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:52705 - 200 150B in 30.1µs
2026/03/06 18:51:53 [DESKTOP-JFVG6LS/WkYXzEyZw5-000043] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:52705 - 200 150B in 157.9µs
2026/03/06 18:51:53 [DESKTOP-JFVG6LS/WkYXzEyZw5-000044] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:52721 - 200 150B in 0s
2026/03/06 18:51:54 [DESKTOP-JFVG6LS/WkYXzEyZw5-000045] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:52721 - 200 150B in 0s
2026/03/06 18:51:54 [DESKTOP-JFVG6LS/WkYXzEyZw5-000046] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:52705 - 200 150B in 0s
2026/03/06 18:51:55 [DESKTOP-JFVG6LS/WkYXzEyZw5-000047] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:52705 - 200 150B in 31.6µs
2026/03/06 18:51:55 [DESKTOP-JFVG6LS/WkYXzEyZw5-000048] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:52721 - 200 150B in 57.2µs
2026/03/06 18:51:56 [DESKTOP-JFVG6LS/WkYXzEyZw5-000049] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:52721 - 200 150B in 113.3µs
2026/03/06 18:51:56 [DESKTOP-JFVG6LS/WkYXzEyZw5-000050] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:52705 - 200 150B in 0s
2026/03/06 18:51:59 [DESKTOP-JFVG6LS/WkYXzEyZw5-000051] "OPTIONS http://localhost:8080/v1/me HTTP/1.1" from [::1]:52705 - 204 0B in 0s
2026/03/06 18:51:59 [DESKTOP-JFVG6LS/WkYXzEyZw5-000052] "OPTIONS http://localhost:8080/v1/me HTTP/1.1" from [::1]:52721 - 204 0B in 0s
2026/03/06 18:51:59 [DESKTOP-JFVG6LS/WkYXzEyZw5-000053] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:52721 - 200 150B in 1.2107ms
2026/03/06 18:51:59 [DESKTOP-JFVG6LS/WkYXzEyZw5-000054] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:52705 - 200 150B in 0s
2026/03/06 18:52:06 [DESKTOP-JFVG6LS/WkYXzEyZw5-000055] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:52705 - 200 1262B in 982.3µs
2026/03/06 18:52:06 [DESKTOP-JFVG6LS/WkYXzEyZw5-000056] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:52721 - 200 1262B in 0s
2026/03/06 18:52:14 [DESKTOP-JFVG6LS/WkYXzEyZw5-000057] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:52721 - 200 1262B in 0s
2026/03/06 18:52:14 [DESKTOP-JFVG6LS/WkYXzEyZw5-000058] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:52721 - 200 1262B in 0s
2026/03/06 18:52:42 [DESKTOP-JFVG6LS/WkYXzEyZw5-000059] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:52721 - 200 1262B in 0s
2026/03/06 18:52:42 [DESKTOP-JFVG6LS/WkYXzEyZw5-000060] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:52721 - 200 1262B in 21.5µs
2026/03/06 18:52:42 [DESKTOP-JFVG6LS/WkYXzEyZw5-000061] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:52721 - 200 1262B in 0s
2026/03/06 19:02:06 [DESKTOP-JFVG6LS/WkYXzEyZw5-000062] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:52936 - 200 1262B in 533.3µs
2026/03/06 19:02:06 [DESKTOP-JFVG6LS/WkYXzEyZw5-000063] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:52937 - 200 1262B in 1.5432ms
2026/03/06 19:02:37 [DESKTOP-JFVG6LS/WkYXzEyZw5-000064] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:52937 - 200 1262B in 999µs
2026/03/06 19:02:37 [DESKTOP-JFVG6LS/WkYXzEyZw5-000065] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:52937 - 200 1262B in 0s
2026/03/06 19:02:46 [DESKTOP-JFVG6LS/WkYXzEyZw5-000066] "GET http://localhost:8080/v1/marketplace/servers/postgresql-assistant HTTP/1.1" from [::1]:52937 - 200 754B in 0s
2026/03/06 19:02:46 [DESKTOP-JFVG6LS/WkYXzEyZw5-000067] "GET http://localhost:8080/v1/marketplace/servers/postgresql-assistant HTTP/1.1" from [::1]:52936 - 200 754B in 0s
2026/03/06 19:02:57 [DESKTOP-JFVG6LS/WkYXzEyZw5-000068] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:52936 - 200 1262B in 1.0041ms
2026/03/06 19:02:57 [DESKTOP-JFVG6LS/WkYXzEyZw5-000069] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:52937 - 200 1262B in 0s
2026/03/06 19:02:59 [DESKTOP-JFVG6LS/WkYXzEyZw5-000070] "GET http://localhost:8080/v1/marketplace/servers/postgresql-assistant HTTP/1.1" from [::1]:52937 - 200 754B in 0s
2026/03/06 19:02:59 [DESKTOP-JFVG6LS/WkYXzEyZw5-000071] "GET http://localhost:8080/v1/marketplace/servers/postgresql-assistant HTTP/1.1" from [::1]:52936 - 200 754B in 0s
2026/03/06 19:03:01 [DESKTOP-JFVG6LS/WkYXzEyZw5-000072] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:52936 - 200 1262B in 105.3µs
2026/03/06 19:03:01 [DESKTOP-JFVG6LS/WkYXzEyZw5-000073] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:52936 - 200 1262B in 0s
2026/03/06 19:43:32 [DESKTOP-JFVG6LS/WkYXzEyZw5-000074] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:58097 - 200 150B in 6.7419ms
2026/03/06 19:43:32 [DESKTOP-JFVG6LS/WkYXzEyZw5-000075] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:58097 - 200 150B in 1.076ms
2026/03/06 19:43:34 [DESKTOP-JFVG6LS/WkYXzEyZw5-000076] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:58107 - 200 1262B in 0s
2026/03/06 19:43:34 [DESKTOP-JFVG6LS/WkYXzEyZw5-000077] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:58107 - 200 1262B in 131.5µs
2026/03/06 19:43:34 [DESKTOP-JFVG6LS/WkYXzEyZw5-000078] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:58107 - 200 1262B in 0s
2026/03/06 19:44:03 [DESKTOP-JFVG6LS/WkYXzEyZw5-000079] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:58107 - 200 1262B in 0s
2026/03/06 19:44:03 [DESKTOP-JFVG6LS/WkYXzEyZw5-000080] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:58107 - 200 1262B in 223.3µs
2026/03/06 19:47:07 [DESKTOP-JFVG6LS/WkYXzEyZw5-000081] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:58204 - 200 1262B in 64.3µs
2026/03/06 19:47:07 [DESKTOP-JFVG6LS/WkYXzEyZw5-000082] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:58205 - 200 1262B in 0s
2026/03/06 19:47:19 [DESKTOP-JFVG6LS/WkYXzEyZw5-000083] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:58205 - 200 1262B in 101.8µs
2026/03/06 19:47:19 [DESKTOP-JFVG6LS/WkYXzEyZw5-000084] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:58204 - 200 1262B in 165.4µs
2026/03/06 19:50:57 [DESKTOP-JFVG6LS/WkYXzEyZw5-000085] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:51047 - 200 1262B in 0s
2026/03/06 19:50:57 [DESKTOP-JFVG6LS/WkYXzEyZw5-000086] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:51048 - 200 1262B in 59µs
2026/03/06 19:51:29 [DESKTOP-JFVG6LS/WkYXzEyZw5-000087] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:51072 - 200 150B in 0s
2026/03/06 19:51:29 [DESKTOP-JFVG6LS/WkYXzEyZw5-000088] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:51048 - 200 1262B in 0s
2026/03/06 19:51:29 [DESKTOP-JFVG6LS/WkYXzEyZw5-000089] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:51047 - 200 1262B in 0s
2026/03/06 19:51:53 [DESKTOP-JFVG6LS/WkYXzEyZw5-000090] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:51083 - 200 150B in 0s
2026/03/06 19:51:53 [DESKTOP-JFVG6LS/WkYXzEyZw5-000091] "GET http://localhost:8080/v1/marketplace/servers/postgresql-assistant HTTP/1.1" from [::1]:51047 - 200 754B in 0s
2026/03/06 19:51:53 [DESKTOP-JFVG6LS/WkYXzEyZw5-000092] "GET http://localhost:8080/v1/marketplace/servers/postgresql-assistant HTTP/1.1" from [::1]:51048 - 200 754B in 0s
2026/03/06 19:53:42 [DESKTOP-JFVG6LS/WkYXzEyZw5-000093] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:51103 - 200 150B in 0s
2026/03/06 19:53:42 [DESKTOP-JFVG6LS/WkYXzEyZw5-000094] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:51048 - 200 1262B in 0s
2026/03/06 19:53:42 [DESKTOP-JFVG6LS/WkYXzEyZw5-000095] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:51047 - 200 1262B in 0s
2026/03/06 19:53:48 [DESKTOP-JFVG6LS/WkYXzEyZw5-000096] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:51047 - 200 1262B in 0s
2026/03/06 19:53:48 [DESKTOP-JFVG6LS/WkYXzEyZw5-000097] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:51047 - 200 1262B in 0s
2026/03/06 19:54:41 [DESKTOP-JFVG6LS/WkYXzEyZw5-000098] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:51125 - 200 150B in 0s
2026/03/06 19:54:41 [DESKTOP-JFVG6LS/WkYXzEyZw5-000099] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:51125 - 200 150B in 0s
2026/03/06 19:54:42 [DESKTOP-JFVG6LS/WkYXzEyZw5-000100] "OPTIONS http://localhost:8080/v1/me HTTP/1.1" from [::1]:51047 - 204 0B in 18.8µs
2026/03/06 19:54:42 [DESKTOP-JFVG6LS/WkYXzEyZw5-000101] "OPTIONS http://localhost:8080/v1/merchant/servers HTTP/1.1" from [::1]:51048 - 204 0B in 0s
2026/03/06 19:54:42 [DESKTOP-JFVG6LS/WkYXzEyZw5-000102] "OPTIONS http://localhost:8080/v1/me HTTP/1.1" from [::1]:51128 - 204 0B in 0s
2026/03/06 19:54:42 [DESKTOP-JFVG6LS/WkYXzEyZw5-000103] "OPTIONS http://localhost:8080/v1/merchant/servers HTTP/1.1" from [::1]:51129 - 204 0B in 0s
2026/03/06 19:54:42 [DESKTOP-JFVG6LS/WkYXzEyZw5-000104] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:51129 - 200 150B in 0s
2026/03/06 19:54:42 [DESKTOP-JFVG6LS/WkYXzEyZw5-000105] "GET http://localhost:8080/v1/merchant/servers HTTP/1.1" from [::1]:51128 - 200 23B in 83.4µs
2026/03/06 19:54:42 [DESKTOP-JFVG6LS/WkYXzEyZw5-000106] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:51048 - 200 150B in 0s
2026/03/06 19:54:42 [DESKTOP-JFVG6LS/WkYXzEyZw5-000107] "GET http://localhost:8080/v1/merchant/servers HTTP/1.1" from [::1]:51047 - 200 23B in 132.9µs
2026/03/06 19:55:39 [DESKTOP-JFVG6LS/WkYXzEyZw5-000108] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:62960 - 200 150B in 556.2µs
2026/03/06 19:55:40 [DESKTOP-JFVG6LS/WkYXzEyZw5-000109] "OPTIONS http://localhost:8080/v1/me HTTP/1.1" from [::1]:62965 - 204 0B in 0s
2026/03/06 19:55:40 [DESKTOP-JFVG6LS/WkYXzEyZw5-000110] "OPTIONS http://localhost:8080/v1/merchant/servers HTTP/1.1" from [::1]:62966 - 204 0B in 0s
2026/03/06 19:55:40 [DESKTOP-JFVG6LS/WkYXzEyZw5-000111] "OPTIONS http://localhost:8080/v1/merchant/revenue HTTP/1.1" from [::1]:62967 - 204 0B in 0s
2026/03/06 19:55:40 [DESKTOP-JFVG6LS/WkYXzEyZw5-000112] "OPTIONS http://localhost:8080/v1/me HTTP/1.1" from [::1]:62968 - 204 0B in 0s
2026/03/06 19:55:40 [DESKTOP-JFVG6LS/WkYXzEyZw5-000113] "OPTIONS http://localhost:8080/v1/merchant/servers HTTP/1.1" from [::1]:62969 - 204 0B in 0s
2026/03/06 19:55:40 [DESKTOP-JFVG6LS/WkYXzEyZw5-000114] "OPTIONS http://localhost:8080/v1/merchant/revenue HTTP/1.1" from [::1]:62970 - 204 0B in 0s
2026/03/06 19:55:40 [DESKTOP-JFVG6LS/WkYXzEyZw5-000115] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:62967 - 200 150B in 0s
2026/03/06 19:55:40 [DESKTOP-JFVG6LS/WkYXzEyZw5-000116] "GET http://localhost:8080/v1/merchant/revenue HTTP/1.1" from [::1]:62968 - 200 409B in 1.0042ms
2026/03/06 19:55:40 [DESKTOP-JFVG6LS/WkYXzEyZw5-000117] "GET http://localhost:8080/v1/merchant/servers HTTP/1.1" from [::1]:62966 - 200 23B in 0s
2026/03/06 19:55:40 [DESKTOP-JFVG6LS/WkYXzEyZw5-000118] "GET http://localhost:8080/v1/merchant/servers HTTP/1.1" from [::1]:62965 - 200 23B in 0s
2026/03/06 19:55:40 [DESKTOP-JFVG6LS/WkYXzEyZw5-000119] "GET http://localhost:8080/v1/merchant/revenue HTTP/1.1" from [::1]:62969 - 200 409B in 0s
2026/03/06 19:55:40 [DESKTOP-JFVG6LS/WkYXzEyZw5-000120] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:62970 - 200 150B in 805.5µs
2026/03/06 19:55:49 [DESKTOP-JFVG6LS/WkYXzEyZw5-000121] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:62975 - 200 150B in 0s
2026/03/06 19:55:49 [DESKTOP-JFVG6LS/WkYXzEyZw5-000122] "OPTIONS http://localhost:8080/v1/me HTTP/1.1" from [::1]:62970 - 204 0B in 29.9µs
2026/03/06 19:55:49 [DESKTOP-JFVG6LS/WkYXzEyZw5-000123] "OPTIONS http://localhost:8080/v1/merchant/servers HTTP/1.1" from [::1]:62969 - 204 0B in 0s
2026/03/06 19:55:49 [DESKTOP-JFVG6LS/WkYXzEyZw5-000124] "OPTIONS http://localhost:8080/v1/me HTTP/1.1" from [::1]:62965 - 204 0B in 0s
2026/03/06 19:55:49 [DESKTOP-JFVG6LS/WkYXzEyZw5-000125] "OPTIONS http://localhost:8080/v1/merchant/servers HTTP/1.1" from [::1]:62966 - 204 0B in 0s
2026/03/06 19:55:49 [DESKTOP-JFVG6LS/WkYXzEyZw5-000126] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:62966 - 200 150B in 363.9µs
2026/03/06 19:55:49 [DESKTOP-JFVG6LS/WkYXzEyZw5-000127] "GET http://localhost:8080/v1/merchant/servers HTTP/1.1" from [::1]:62965 - 200 23B in 0s
2026/03/06 19:55:49 [DESKTOP-JFVG6LS/WkYXzEyZw5-000128] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:62969 - 200 150B in 0s
2026/03/06 19:55:49 [DESKTOP-JFVG6LS/WkYXzEyZw5-000129] "GET http://localhost:8080/v1/merchant/servers HTTP/1.1" from [::1]:62970 - 200 23B in 102.5µs
2026/03/06 19:55:51 [DESKTOP-JFVG6LS/WkYXzEyZw5-000130] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:62975 - 200 150B in 498.5µs
2026/03/06 19:55:52 [DESKTOP-JFVG6LS/WkYXzEyZw5-000131] "GET http://localhost:8080/v1/merchant/servers HTTP/1.1" from [::1]:62969 - 200 23B in 2.0033ms
2026/03/06 19:55:52 [DESKTOP-JFVG6LS/WkYXzEyZw5-000132] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:62970 - 200 150B in 0s
2026/03/06 19:55:52 [DESKTOP-JFVG6LS/WkYXzEyZw5-000133] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:62966 - 200 150B in 0s
2026/03/06 19:55:52 [DESKTOP-JFVG6LS/WkYXzEyZw5-000134] "GET http://localhost:8080/v1/merchant/servers HTTP/1.1" from [::1]:62965 - 200 23B in 18.6625ms
2026/03/06 19:56:23 [DESKTOP-JFVG6LS/WkYXzEyZw5-000135] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:62965 - 200 1262B in 0s
2026/03/06 19:56:23 [DESKTOP-JFVG6LS/WkYXzEyZw5-000136] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:62965 - 200 1262B in 0s
2026/03/06 19:59:09 [DESKTOP-JFVG6LS/WkYXzEyZw5-000137] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:59542 - 200 150B in 0s
2026/03/06 19:59:09 [DESKTOP-JFVG6LS/WkYXzEyZw5-000138] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:59543 - 200 1262B in 0s
2026/03/06 19:59:09 [DESKTOP-JFVG6LS/WkYXzEyZw5-000139] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:59544 - 200 1262B in 0s
2026/03/06 19:59:18 [DESKTOP-JFVG6LS/WkYXzEyZw5-000140] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:59544 - 200 1262B in 0s
2026/03/06 19:59:18 [DESKTOP-JFVG6LS/WkYXzEyZw5-000141] "GET http://localhost:8080/v1/marketplace/servers HTTP/1.1" from [::1]:59543 - 200 1262B in 0s
2026/03/06 19:59:21 [DESKTOP-JFVG6LS/WkYXzEyZw5-000142] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:59552 - 200 150B in 139.4µs
2026/03/06 19:59:21 [DESKTOP-JFVG6LS/WkYXzEyZw5-000143] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:59552 - 200 150B in 0s
2026/03/06 19:59:21 [DESKTOP-JFVG6LS/WkYXzEyZw5-000144] "OPTIONS http://localhost:8080/v1/me HTTP/1.1" from [::1]:59543 - 204 0B in 0s
2026/03/06 19:59:21 [DESKTOP-JFVG6LS/WkYXzEyZw5-000145] "OPTIONS http://localhost:8080/v1/merchant/servers HTTP/1.1" from [::1]:59544 - 204 0B in 0s
2026/03/06 19:59:21 [DESKTOP-JFVG6LS/WkYXzEyZw5-000146] "OPTIONS http://localhost:8080/v1/me HTTP/1.1" from [::1]:59553 - 204 0B in 0s
2026/03/06 19:59:21 [DESKTOP-JFVG6LS/WkYXzEyZw5-000147] "OPTIONS http://localhost:8080/v1/merchant/servers HTTP/1.1" from [::1]:59543 - 204 0B in 0s
2026/03/06 19:59:21 [DESKTOP-JFVG6LS/WkYXzEyZw5-000148] "GET http://localhost:8080/v1/me HTTP/1.1" from [::1]:59543 - 200 150B in 0s
